type, province, city, district, name, address, lng, lat
120302,河北省,廊坊市,安次区,德荣·帝景,廊霸路和银河南路交叉口,116.694389,39.481704
120302,河北省,廊坊市,安次区,永华小区,永华道160号,116.692809,39.505175
120302,河北省,廊坊市,安次区,永鸿小区,永兴路7号,116.684388,39.520811
120302,河北省,廊坊市,安次区,兴华小区(永兴路),光明西道172号,116.68511,39.51366
120302,河北省,廊坊市,安次区,顺安小区(顺安道),顺安街2号,116.703429,39.506963
120302,河北省,廊坊市,安次区,安居花园(辛庄道),建设南路299号,116.720442,39.499872
120302,河北省,廊坊市,安次区,钰海嘉苑,常甫路与永华道交口,116.708978,39.506008
120302,河北省,廊坊市,安次区,馨语星苑,光明西道113号,116.67033,39.510954
120302,河北省,廊坊市,安次区,兴盛小区(永兴路),永兴路46号,116.684469,39.519688
120300,河北省,廊坊市,安次区,清风园,银河南路,116.699641,39.484850
120302,河北省,廊坊市,安次区,永兴小区南区,金光道与永兴路交口,116.681675,39.517198
120302,河北省,廊坊市,安次区,臻丽家园,光明西道与西外环交口,116.670081,39.513334
120302,河北省,廊坊市,安次区,兴旺小区(永兴路),安次安次区永兴盛路与金光道交口北行200米,116.683819,39.52168
120302,河北省,廊坊市,安次区,K2.狮子城,银河南路K2狮子城海棠园底商4-113,116.691169,39.494255
120302,河北省,廊坊市,安次区,光明小区(爱民西道),爱民西道32号,116.68417,39.524109
120302,河北省,廊坊市,安次区,德仁新苑,育才路128号,116.674501,39.510724
120302,河北省,廊坊市,安次区,蓝波湾,光明西道83号,116.683296,39.511661
120302,河北省,廊坊市,安次区,奥富斯小区,常宁路与辛庄道交汇处西南100米,116.713141,39.50045
120302,河北省,廊坊市,安次区,菜豆庄社区,永兴路与西宁道交叉口西北50米,116.683896,39.515855
120302,河北省,廊坊市,安次区,廊坊市第一中学家属楼,安庆里西,116.690858,39.50983
120302,河北省,廊坊市,安次区,富强小区,永华道94号,116.703127,39.505112
120302,河北省,廊坊市,安次区,平安小区,光明西道144号,116.689749,39.514095
120302,河北省,廊坊市,安次区,兴安小区(顺安道),顺安道17号附近,116.702144,39.507222
120302,河北省,廊坊市,安次区,盛世安居,光明西道与银河南路交叉口西北50米,116.699013,39.513172
120302,河北省,廊坊市,安次区,亿合家园小区,吉祥路与顺安道交叉口北150米,116.701414,39.508775
120302,河北省,廊坊市,安次区,创新里东小区,银河南路,116.703591,39.511032
120302,河北省,廊坊市,安次区,嘉慧意境,光明西道115号,116.66854,39.509397
120302,河北省,廊坊市,安次区,惠民小区,辛庄道,116.714254,39.498699
120302,河北省,廊坊市,安次区,廊坊科通嘉园小区,光明西道111号,116.672839,39.510751
120302,河北省,廊坊市,安次区,长青社区,金光道南100米,116.690937,39.518622
120302,河北省,廊坊市,安次区,狮子城银河嘉苑3区,常青路218号,116.691615,39.496375
120302,河北省,廊坊市,安次区,宏泰·龙邸,南龙道与银河南路交口红星美凯龙南200米,116.700264,39.488693
120302,河北省,廊坊市,安次区,吉祥社区,新安胡同与顺安道交叉口东150米,116.704132,39.507524
120302,河北省,廊坊市,安次区,廊坊德荣文璟(建设中),NA,116.687733,39.481213
120302,河北省,廊坊市,安次区,大家新城,银河南路于常甫大桥南100米,116.699129,39.4782
